feature,lgb,xgb,avg
is_brahmotsavam,0.0,0.15729317,0.07864658534526825
is_weekend,0.0,0.12696813,0.0634840652346611
dow_expanding_mean,0.06714826580791157,0.023121575,0.04513492035075268
rm7,0.025501544888811522,0.055941008,0.04072127646008989
L7,0.04904478001653684,0.031004073,0.04002442655741936
rstd14,0.062143696418469035,0.013171306,0.03765750114920978
L365,0.055877105182993166,0.011624386,0.0337507453928827
L28,0.0533530614909265,0.012738198,0.0330456297664212
rm14,0.032377388049958655,0.031313013,0.03184520066767857
rstd7,0.046651290308542585,0.016668823,0.03166005646244066
trend_7_30,0.05391879542190696,0.0075676693,0.030743232343439585
L2,0.04947995996344488,0.011799612,0.030639786022992936
L21,0.045824448409417295,0.014308543,0.030066495676954103
cos_doy,0.04129857696157361,0.018259238,0.029778907706646447
L1,0.041777274903172464,0.014589614,0.028183444569018588
trend_7_14,0.047173506244832235,0.00824319,0.02770834818473158
L14,0.03807824535445407,0.015636664,0.026857454619189276
dow_dev,0.038818051264197746,0.011424766,0.02512140859316345
momentum_7,0.043430958701423036,0.0063501727,0.024890565692509824
dow,0.009051742895687366,0.040200513,0.024626127875966203
sin_doy,0.037033813481874754,0.0084480615,0.02274093750757351
rm30,0.03198572609774142,0.01295411,0.02246991818871036
ewm7,0.024805256973758648,0.0155487815,0.020177019232787346
log_L7,0.0027851516602114975,0.034123473,0.018454312264803853
log_rm7,0.0014360938247965534,0.033065733,0.017250913196649488
heavy_extreme_count7,0.005135123373514948,0.029349778,0.017242450610521702
ewm14,0.017189607902867835,0.0141936755,0.01569164169182541
days_from_fest,0.02162844336132991,0.009692365,0.015660404332482752
is_dasara_holiday,8.70359893816093e-05,0.02675004,0.01341853764932242
month_dow,0.01357761434353105,0.012739263,0.013158438443574866
week_of_year,0.009051742895687366,0.017190116,0.013120929211002958
days_to_fest,0.018277557770137953,0.007811378,0.013044467996048414
light_quiet_count7,0.0037425475434091997,0.020310372,0.012026459828795358
log_rm30,0.001479611819487358,0.015907532,0.008693571711829079
fest_window_7,0.0003916619522172418,0.015106364,0.0077490130527714
log_L1,0.0017842377823229906,0.013513754,0.0076489959521411
fest_impact,0.004090691500935637,0.009372224,0.006731457800434869
month,0.0012620218460333349,0.01190595,0.006583985704410673
is_ugadi,0.0,0.012282726,0.006141363177448511
log_L365,0.0023064537186126464,0.009496826,0.005901639732902276
is_festival,0.0002611079681448279,0.010179175,0.0052201415160562665
is_sankranti,0.0,0.010023835,0.005011917557567358
is_summer_holiday,0.0006092519256712651,0.007572071,0.004090661543396198
fest_window_3,0.00013055398407241394,0.0072679496,0.0036992518105490044
is_winter_holiday,0.0,0.006970795,0.0034853974357247353
is_national_holiday,0.0,0.0,0.0
is_diwali,0.0,0.0,0.0
is_dussehra_period,0.0,0.0,0.0
is_vaikuntha_ekadashi,0.0,0.0,0.0
is_navaratri,0.0,0.0,0.0
is_rathasapthami,0.0,0.0,0.0
is_janmashtami,0.0,0.0,0.0
is_shivaratri,0.0,0.0,0.0
is_ramanavami,0.0,0.0,0.0
